text,generated_summary,original_summary,len(text),len(summary),len(target_summary),time_taken,memory_used,rouge1,rouge2,rougeL,BERTScore F1,complexity
"They recorded their best result in Wales in 30 years, taking 11 out of 40 seats.
Among them was Gower, which was won by just 27 seats by the former detective Byron Davies, after more than a century in the hands of a succession of Labour MPs.
Jeremy Corbyn should have some fond memories as well.
His extraordinary rise in the summer from rank outsider to Labour leader was a reflection of the party's membership in Wales, as elsewhere.
The subsequent in-fighting in the party after Corbyn's victory could prove a real problem for Welsh Labour as it looks to hold on to power at the assembly next year.
In the meantime, the current Labour Welsh government completed its final full year.
And if there was an issue which dominated in Cardiff Bay, it was once again the state of the NHS.
Opposition parties maintained the pressure on waiting lists and the decision not to protect health spending between 2011 and 2013.
Labour ministers responded by pointing out that all was not rosy in the NHS in England and referring to its direct action such as putting Betsi Cadwaladr University Health Board into special measures.
It was a relatively quiet political year for education.  Although minister Huw Lewis suggested that Welsh GCSE results would overtake England, it failed to materialise as the results in Wales matched the previous year.
Public Services Minister Leighton Andrews failed to get agreement from opposition parties for council re-organisation, which largely recreates the structure that existed in the 1970s and 80s with eight or nine large councils.
Instead, he has ploughed on with legislation to pave the way for the next Welsh government to dramatically reduce the existing 22 councils soon after taking charge, but the big question remains unanswered: can there be political agreement?
David Cameron and Nick Clegg visited the Millennium Stadium for what was called the St David's Day agreement to devolve more powers over energy, transport and elections.
Labour insisted there had been no agreement, and remained cool to much that had been proposed.
This turned into hostility over Tory plans to simplify the constitutional settlement when the First Minister Carwyn Jones accused Welsh Secretary Stephen Crabb of putting devolution into reverse.
The other major constitutional development was the announcement from the Chancellor that partial control of income tax could be devolved without the need for a referendum.
Elsewhere, the Welsh government's plans for an M4 relief road around Newport put internal strain on what is normally a disciplined party.
Labour AM Jenny Rathbone criticised the proposals and was then sacked as chair of a committee at the assembly.
She responded by saying there was an unhealthy culture at the top of the Welsh government which did not allow for rigorous debate.
Her successor on the committee, fellow Labour AM Mick Antoniw, disagreed, saying he had often been critical and had ""not woken up in the morning with a horse's head in my bed"".
The parties in Wales won't have to deal with horses' heads next year, but there are plenty of challenges nevertheless.
Plaid have yet to take advantage of the increased profile of its leader Leanne Wood during the general election leaders' debates, although it helped her win the accolade of Welsh Politician of the Year.
The Lib Dems have to rebuild after a devastating 2015 and UKIP are gearing up for a campaign which could see them with a handful of AMs for the first time.","Here's a concise summary of the given text:

The Welsh Labour government recorded a significant result in the 2017 Welsh general election, winning 11 out of 40 seats. The party's leader, Jeremy Corbyn, had a remarkable rise to power, but the party's internal politics and the state of the NHS dominated the headlines. The government completed its final year in office, with the NHS remaining a major issue. The opposition parties maintained pressure on waiting lists and healthcare spending, while the Welsh government","The general election dominated politics in Wales in 2015, and on that basis it will surely be the Conservatives who will have the fondest memories.",3468,518,147,6.91 seconds,-0.97 MB,0.19819819819819823,0.01834862385321101,0.12612612612612614,0.8449293375015259,easy
"More than 1,500 children were held over alleged firearm offences between 2013 and January 2016.
Among the figures, the Metropolitan Police made 679 arrests, while seven children aged under 11 were held in Nottinghamshire.
The number of arrests rose by 20% last year, the Press Association said.
The data, obtained under the Freedom of Information Act, showed 1,549 children were arrested for suspected crimes involving firearms, air weapons or imitation guns.
A total of 506 charges were brought by police.
The brother of a fatal shooting victim said he believed gangs were using children to carry guns to avoid detection.
Ian Cameron Swanston, whose 20-year-old brother Dorrie was shot dead in Hulme, Manchester in 1999, also said some youngsters carried guns for ""status"".
Mr Swanston, who is a counsellor and trustee of the charity Mothers Against Violence, said: ""The more guns within the community, the more likely it is we will see younger children getting access to them.
""Gangs use children, they use their girlfriends. They use people who the police are unlikely to search.
""For some it's about status. Having a gun is seen as having power and people become fearful of you.""
Merseyside Police said 73 children were arrested between 2013 and 2015. Fourteen boys were charged with crimes involving firearms including robbery, possession of a firearm, possession of an air weapon in a public place, sending threats, wounding and false imprisonment.
West Midlands Police said 83 boys and one girl had been charged with firearm offences since 2013, including an 11-year-old boy in 2015, a 12-year-old boy in 2013 and eight boys aged 13.
The Police Service of Northern Ireland said nine boys and one girl were arrested for suspected firearm offences in 2015, compared with six boys in 2014 and seven boys and one girl in 2013.
Greater Manchester Police, which has investigated a string of gang-related shootings since ""Salford's Mr Big"" Paul Massey was shot dead in July, and Police Scotland were among the forces which did not provide figures.
Among the other forces which provided data:
A spokesman for the National Police Chiefs' Council said firearms offences in the UK accounted for less than 0.2% of total recorded crime.
""Forces across the country and community safety partnerships are working together to prevent young people getting involved in gangs and firearms,"" he said.
""This is a key piece of work for all agencies and communities in breaking the cycle of young people becoming involved in gangs and the associated criminality.""","Here's a concise summary of the given text:

Between 2013 and 2016, over 1,500 children were arrested for suspected firearm-related crimes in the UK. The majority of these arrests (1,549) were in the North of England, with Nottinghamshire and Merseyside Police reporting the highest numbers. The Metropolitan Police reported a 20% increase in firearm arrests in 2015. The majority of these arrests involved gang-related crimes, including robbery, possession of firearms,","Children as young as 10 were among hundreds of youngsters arrested for suspected gun crimes in the last three years, new data has revealed.",2546,470,139,7.23 seconds,5.09 MB,0.18181818181818182,0.08247422680412371,0.1616161616161616,0.8560143113136292,easy
"It includes:
Certainly, Sinn Féin leader Gerry Adams thinks there has been a shift - last week he told Reuters that the Northern Ireland Assembly election result gave him and his supporters a sense that their long-term goal of Irish unity might be achievable.
Mr Adams also referred to developments on the other side of the Irish Sea, claiming that a decade ago Scottish independence might have seemed a ""minority occupation for men in kilts"", but now people had bought into the proposition.
On a similar theme, Tony Blair's former spin doctor Alastair Campbell told Good Morning Ulster that in relation to both Brexit and the Trump presidency ""we are living in an era in which nothing can be taken for granted"".
On the face of it, there seems much to encourage Irish nationalists and to disconcert Ulster unionists.
But although the needles are twitching on their political Ritcher scales, it is probably not yet time for the unionists to ""drop, cover and hold on"", the standard advice if caught in an earthquake.
Back in September last year, BBC Northern Ireland commissioned an opinion poll in the wake of the Brexit referendum.
This suggested that 63% of people in Northern Ireland supported staying in the UK whilst only 22% said they would vote to join a United Ireland.
It is entirely possible that, as the practical implications of Brexit unfold, this balance of opinion could shift. However, it is quite a differential for nationalists to overturn.
It would be wrong to assume that the loss of the unionist majority at Stormont in an election, dominated by a backlash to the DUP's style of government, would translate into a border poll.
Brexit may have shaken many people out of their comfort zone. However, any border poll campaign would focus, not just on people's identities and aspirations, but also on the multi-billion pound UK subvention, the future of the health service or the general stability of Northern Ireland.
At Stormont, it is the ""others"" who hold the theoretical balance of power and it is probable that many of their supporters might find the status quo more attractive than a step into the unknown.
One aspect of the Scottish debate which may have resonance in Northern Ireland in the coming months and years might be under whose authority a referendum can be called.
Ms Sturgeon has indicated she wants a vote between the autumn of 2018 and the spring of 2019, but it is up to Downing Street to grant the Section 30 order which would make the exercise legally binding.
Similarly, under the Good Friday Agreement, it is up to the UK government in the shape of the secretary of state for Northern Ireland to call a border poll ""if at any time it appears likely to him that a majority of those voting would express a wish that Northern Ireland should cease to be part of the United Kingdom and form part of a united Ireland"".
The agreement is silent on what might inform a secretary of state's decision, but generally it has been assumed to be the decisive result of an election or a consistent run of opinion polls suggesting a majority want change.
One can imagine that, just as Sinn Féin has questioned the Treasury's estimates of the financial subvention, Irish nationalists could disagree with a future Northern Ireland secretary of state on whether the circumstances set out in the 1998 agreement have been met.
In turn, that argument could influence the debate in the run-up to any future border poll.
Back in September last year I wrote that I did not expect to find myself covering a border poll in my tenure as BBC NI political editor.
But maybe - given the recent seismological movement - I shouldn't rule anything out for certain.","Here's a concise summary of the article:

Gerry Adams, Sinn Féin leader, believes that the Northern Ireland Assembly election result has given his party and supporters a sense of hope for achieving Irish unity. Tony Blair's former spin doctor Alastair Campbell also expressed similar sentiments, suggesting that the UK is entering an era of uncertainty. However, it's unlikely that the unionist majority at Stormont will drop their support for the union without a significant shift in opinion.

A recent opinion poll in Northern",A bewildering list of developments has contributed to a sense that perhaps the political tectonic plates are on the move.,3671,528,121,8.15 seconds,3.30 MB,0.14953271028037382,0.01904761904761905,0.14953271028037382,0.8286244869232178,easy
"Then a young man in his mid-20s, the future must have seemed bleak.
With few countries prepared to respond to China's actions, he faced a difficult task to protect Tibetans and their traditions.
Yet despite 50 years in exile, the reach of Tibet's spiritual leader has extended far beyond his community and he is now recognised as one of the world's leading religious figures.
He was awarded the Nobel Peace Prize in 1989 for his consistent opposition to the use of violence in his quest for Tibetan self-rule.
But Beijing continues to view him as a ""splittist"", although he has repeatedly stated that his goal is for Tibetan autonomy rather than independence.
The 14th Dalai Lama was born on 6 July 1935, in a small village just outside the current boundaries of Tibet.
His parents, who named him Lhamo Dhondub, were farmers with several other children.
When he was two years old, a search party of Buddhist officials recognised him as the reincarnation of the 13 previous Dalai Lamas and he was enthroned before he turned four.
He was educated at a monastery and went on to achieve the Geshe Lharampa Degree, a doctorate of Buddhist philosophy.
But in 1950, when he was 15, the troops of Mao Tse-tung's newly-installed Communist government marched into Tibet.
As soldiers poured into the country, the Dalai Lama - his title means Ocean of Wisdom - assumed full power as head of state.
In May 1951, China drew up a 17-point agreement legitimising Tibet's incorporation into China.
When Tibetans took to the streets in 1959 demanding an end to Chinese rule, troops crushed the revolt and thousands of protesters were killed.
The Dalai Lama fled to India on foot and settled in Dharamsala, in the north of the country, which is now home to the Tibetan government-in-exile.
He was followed into exile by about 80,000 Tibetans, most of whom settled in the same area.
In exile, the Dalai Lama began the task of trying to preserve the culture of the Tibetan people and publicise their plight on the world stage.
He appealed to the United Nations and persuaded the General Assembly to adopt resolutions in 1959, 1961 and 1965 calling for the protection of the Tibetan people.
He has met political and religious leaders throughout the world and visited the late Pope John Paul II on several occasions.
The Dalai Lama has advocated a ""middle way"" to resolve the status of Tibet - genuine self-rule for Tibet within China.
In 1987, amid protests in Lhasa against the large-scale relocation of Han Chinese into Tibet, the Dalai Lama proposed a five-point plan, in which he called for the establishment of Tibet as a zone of peace.
But he did not move from his stance of peaceful resistance and in 1989 was awarded the Nobel Peace Prize.
The committee praised his policy of non-violence, which it called ""all the more remarkable when it is considered in relation to the sufferings inflicted on the Tibetan people"".
Despite their disagreements, the Dalai Lama has continued to seek dialogue with Beijing. Talks between the two sides broke down in 1993 and there were no more for nearly a decade.
Discussions resumed in 2002 and have continued intermittently but with no apparent progress.
Tensions between China and the Tibetan government-in-exile worsened in the wake of unrest in Tibet in March 2008 - the worst for 20 years.
Protests sparked by the anniversary of the 1959 uprising turned into riots on the streets of Lhasa. Violent protests were also reported among Tibetan communities in neighbouring regions.
China says at least 18 people were killed by rioters. Tibetan groups say as many as 200 people died in a crackdown by Chinese security forces.
The Dalai Lama is also facing challenges within the exile community.
Some young Tibetan activists believe pacificism does not work and, although most approve of the Dalai Lama's leadership, a growing number are calling for a tougher line.
There is also growing concern over who will leader the Tibetan movement in the future.
In March 2011, the Dalai Lama said that he planned to hand his political responsibilities to an elected representative, saying such a move was in the best interests of the Tibetan people.
""My desire to devolve authority has nothing to do with a wish to shirk responsibility,"" he said. ""It is to benefit Tibetans in the long run. It is not because I feel disheartened.""
""Tibetans have placed such faith and trust in me that as one among them I am committed to playing my part in the just cause of Tibet.""","Here's a concise summary of the text:

The 14th Dalai Lama, Tenzin Gyatso, was born in 1935 in a small village in Tibet. He was recognized as the reincarnation of the 13 previous Dalai Lamas at the age of 2 and was enthroned as head of state in 1950. However, China's Communist government, led by Mao Tse-tung, invaded Tibet in 1950, and the Dalai Lama","In March 1959, as Chinese troops crushed an attempted uprising in Tibet, Tenzin Gyatso, the 14th Dalai Lama, fled into India.",4474,352,125,8.32 seconds,3.72 MB,0.2247191011235955,0.11494252873563218,0.15730337078651682,0.8782926797866821,easy
"Almost 2,000 homes and more than 1,000 businesses in the area were affected by flooding over Christmas last year.
The new scheme is in addition to almost £10m awarded from central government to support flood recovery in the area.
The council funding will also be used to improve flood incident management systems.
Read more about this and other stories from across West Yorkshire
More than £60m has already been made available by the government for major flood defence schemes in the Calder Valley, which are currently being examined by the Environment Agency.
The council's scheme will look at how it can deliver other low cost flood prevention work and develop projects for natural flood management.
It will also offer support for businesses with hardship grants and in helping companies in making their properties more flood resilient.
The council also plans to hire additional staff to speed up grant processing for homeowners and to increase the size of the council's flood team.","Here's a concise summary of the text:

A £10m government fund has been allocated to support flood recovery in West Yorkshire, in addition to £60m already available for major flood defence schemes in the Calder Valley. The council will use this funding to improve flood incident management systems, support businesses with hardship grants, and increase its flood resilience efforts.",A £3m fund to invest in flood prevention and resilience schemes in Calderdale has been approved by councillors.,984,381,111,4.83 seconds,0.50 MB,0.282051282051282,0.05263157894736842,0.17948717948717952,0.89573734998703,easy
"In the past month, it has lost its new leader after 18 days and seen an MEP resign after a much-publicised fracas in Strasbourg.
This came after months of infighting and tussles between rival factions within the party.
So rather than basking in EU referendum glory, the question of reuniting UKIP was high on the agenda in front of about 200 party activists in central London.
Former deputy leader - and now leadership candidate - Paul Nuttall said he would ""let bygones be bygones"", and that the party had to ""forgive but not forget"".
""Let's stop knocking lumps out of each other,"" he urged, vowing to publish proposals for constitutional reform of the party to ""tighten everything up"".
Fellow candidate Suzanne Evans also called for changes to the party machinery, saying the ruling National Executive Committee had to be reformed and be made more open and accountable.
""Our members are sick of this,"" added the former deputy chairwoman, who was unable to take part in the previous contest because of her suspension from the party.
""Let's focus our fight on the real enemy.""
Businessman John Rees-Evans offered the most radical reform to party structure - an online balloting system that would see UKIP's policies set by its membership.
Unlike the more upbeat assessment of his rivals, Mr Rees-Evans provided a pessimistic outlook on the party's current predicament, saying it was in a ""crisis"", short of funds and with a declining membership.
Culture spokesman and London Assembly member Peter Whittle called for ""some form of collective responsibility"" from the party.
""We've got to be singing from the same hymn sheet when we go out into the public,"" he added.
Candidates also set out their policy priorities, and aside from Brexit - where they all agreed on taking the fastest route out of the European Union - immigration, combating Islamic extremism and curbing the rise of Sharia courts were common themes.
There were no questions on the death penalty, which divided the panel at an earlier LBC debate.
Mr Nuttall vowed to replace Labour as the ""patriotic voice of the working class"", while Ms Evans said it had to broaden its appeal to more women and ethnic minority voters, vowing to put more ""kippers"" in schools and teaching unions to ensure pupils are taught ""to be proud of Britain"".
Mr Whittle said every school should display the union jack and a picture of the Queen.
Mr Rees-Evans said he would aim to increase the party membership to 500,000, warning that the other candidates would continue UKIP's ""current demise"".
That was as close as we got to criticism of a fellow panellist - and there was no sign of dissent in the audience, who applauded each candidate after every question, with Mr Nuttall getting a standing ovation from some sections.
It was left to Mr Oakden to close proceedings, with a nod to ex-UKIP MEP Steven Woolfe's parting attack on the state of the party.
""I think anyone who thinks the party is in a 'death spiral' should have been here tonight,"" he said.
UKIP's new leader will be announced on 28 November, with the deadline for ballots to be returned on 25 November.","Here's a concise summary of the article:

UKIP's party has been in turmoil after a leadership crisis, with Paul Nuttall resigning and Suzanne Evans calling for changes to the party's machinery. The party's new leader will be announced on November 28, and candidates have set out their policy priorities, including Brexit, immigration, and combating Islamic extremism. Key points include:

- UKIP's leadership crisis has led to infighting and factionalism within the party.
- Candidates have called","Introducing the first official hustings of UKIP's leadership contest, chairman Paul Oakden reflected that it had been a ""challenging few weeks"" for his party.",3110,497,158,7.77 seconds,2.50 MB,0.19230769230769232,0.039215686274509796,0.1346153846153846,0.8402277827262878,easy
"The charity's jousting expert Dominic Sewell told BBC's Radio 5 live that the medieval pursuit was a ""worldwide phenomenon that should be recognised"".
Only about 20 people in the UK joust competitively, but the charity said tournaments were held across the world.
The International Olympic Committee (IOC) said it was ""unaware"" of any official request for its recognition.
For a sport to be included in the Olympic Games programme, it must be governed by an international federation, practised widely across the world, and meet other various criteria before being considered by the IOC's executive board.
English Heritage said it had made an initial approach to the IOC and the Federation Equestre Internationale (FEI) - which governs all Olympic equestrian disciplines - as a first step on jousting's road to the Olympics.
Jousting would need to be recognised by the FEI before it could be considered as an Olympic sport by the IOC, English Heritage said.
Mr Sewell, who jousts competitively, said: ""Just like the Olympic British equestrian team, we ride beautiful horses to an exceptional level.""
He said jousting required a ""huge amount of skill and a daily training regime"", adding one had to be ""strong, not just physically but mentally, so you can sit fearlessly in your saddle, face your rival, and offer yourself as a target"".
Mr Sewell, a former furniture assembler in a factory, said: ""This has gone from being a hobby to being a sport and a career.""
He told BBC Radio 4's Today programme his interest had originally been fuelled by visiting historical re-enactments, but added: ""I'm a sportsman, I'm not an actor.""
Mr Sewell went on: ""As soon as I got on a horse everything changed and I thought: this is what I want to do, I want to be good at this.""
English Heritage admitted it could be a ""long road"" to get jousting recognised as an Olympic sport, but said there were ""encouraging signs"".
Tournaments were growing in popularity, the charity said, and were now held in countries such as Belgium, Brazil and New Zealand.
In the US, where jousting has been the official state sport of Maryland since 1962, competitors have launched a similar Olympic campaign.
Jousting today is ""quite a safe sport to take part in"", Mr Sewell says.
""The rules are essentially that you are in a single combat situation, in a designated area, in a pitch - or 'tilt-yard' - and in that yard is a tilt rail.""
The competitors charge down the rail towards each other with points awarded on the style and strength of their hit.
Wearing a suit of armour weighing around 20kg, the athletes hold a 12ft lance in one hand and their horse's reins in the other, all while riding towards their opponents at a flat-out gallop - at speeds of up to 30mph.
""These days injuries are few and far between... but the odd un-horsing might result in a few bruises,"" Mr Sewell says.
The IOC said its programme was currently being addressed as part of the Olympic Agenda 2020, the group's strategy for the future of the Olympics.
A spokesman said: ""One recommendation was to make the Olympic programme more flexible by moving from a sport-based to an event-based programme.""
Earlier this month, the IOC supported a bid to add karate, skateboarding, sports climbing, surfing and baseball/softball to the programme for Tokyo 2020.
If approved, the inclusion would add 18 events and 474 athletes to the Olympic Games.
Jousting, with its roots in Ancient Greece, where it was practised as part of preparations for war, emerged in England in the 10th Century as a sport for knights to hone their equine and lance skills.
The first jousting tournament in England is said to have been arranged by the Frenchman Godfrey de Preuilly in 1066.
The tournaments became so popular that in the 12th Century, King Henry II banned the sport, as he considered it too dangerous to have a number of highly skilled knights in the same place at the same time.
The ban was lifted under King Richard I and the sport remained popular, particularly during the Tudor era, until declining after the French King Henry I was killed during a joust in 1559.
Jousting enjoyed a revival under 19th Century romanticism, with writers such Lord Byron, Percy Shelley and Sir Walter Scott glamorising notions of chivalry with tales of knights and fair maidens.","Here's a concise summary of the article:

**Jousting's Olympic bid: A long road ahead**

* Jousting, a medieval sport, is a ""worldwide phenomenon"" that should be recognized by the International Olympic Committee (IOC).
* Only 20 people in the UK compete in jousting, but the charity English Heritage hopes to expand its reach globally.
* The International Olympic Committee (IOC) is considering jousting as an Olympic sport, but it needs to meet specific",A petition calling for jousting to be made an Olympic sport has been launched by English Heritage.,4290,454,98,8.94 seconds,2.22 MB,0.22471910112359547,0.06896551724137931,0.15730337078651685,0.8732048273086548,easy
"The incident happened in Lime Grove, in the Craigshill area of Livingston, at about 21:30 on Wednesday.
The thief got into the white Peugeot 208 but was unable to drive off because the passenger had managed to remove the keys from the ignition before running off.
The thief then chased the passenger in a bid to take the keys from him.
After failing to get the keys, the suspect returned to the car and tried to push it away, before eventually giving up.
He was last seen heading in the direction of Craigshill East Road.
Police are appealing for witnesses.
The man was white, aged about 19 and was about 5ft 6in tall.
He was wearing a grey hooded tracksuit with the hood up, partially covering his face, grey tracksuit bottoms and dark-coloured Adidas trainers.
Det Con Iain Duncan, of Police Scotland, said: ""Although the victim was not seriously injured the brazen nature of this crime is quite remarkable.
""We are pursuing various lines of inquiry including a review of the local CCTV network and carrying out door-to-door inquiries.
""However, I'm now appealing to anyone in the local community who can help identify the suspect to come forward.
""I'd also be interested to hear from anyone who was in the Craigshill area of Livingston on Wednesday night and who noticed any suspicious behaviour.""","Here's a concise summary of the incident:

A 19-year-old man was arrested after a car theft in the Craigshill area of Livingston, Scotland. The suspect, described as white, 5'6"" tall, and wearing a grey tracksuit, attempted to steal the car but was thwarted by the passenger, who removed the keys from the ignition. The suspect then chased the passenger, but eventually returned to the car and gave up. The suspect was last seen heading in the direction",A man who tried to steal a car in West Lothian with a teenage passenger inside is being sought by police.,1300,453,105,6.88 seconds,0.56 MB,0.2156862745098039,0.04000000000000001,0.1372549019607843,0.8631779551506042,easy
"The teenager approached a South Korean guard post in north-eastern Hwacheon in the demilitarised zone (DMZ) on Monday, South Korea's defence ministry said.
There was no exchange of fire and the soldier is now being held in custody.
It is extremely rare for defectors to walk across the DMZ. The last time it happened was in 2012.
Most defectors cross over into China, then make their way through South East Asia and then into South Korea.
Of the nearly 28,000 North Koreans who have resettled in the South, most of them left the country through the border with China, and not through the DMZ.
This is because the 250km-(155 mile)-long demilitarized zone is heavily guarded, littered with anti-personnel landmines.
The last time a North Korean soldier defected through the wire fence was in October 2012, when a soldier managed to cross undetected.
This was a huge embarrassment for the South Korean military and steps were taken to strengthen border security.
Recently, there has been increased activity by North Korean soldiers in the DMZ and some believe the North has been trying to make defections more difficult.
The DMZ is fortified with landmines and barbed wire and guarded by tens of thousands of troops on both side.
Hundreds of North Koreans flee poverty and a repressive regime at home each year.
In August last year, two North Koreans swam across the Yellow Sea border to a South Korean island.","Here's a concise summary of the given text:

A South Korean soldier was detained after a defector attempted to cross the Demilitarized Zone (DMZ) in Hwacheon, North Korea. The incident occurred without incident, and the soldier is currently being held in custody. This is the third time a North Korean defector has attempted to cross the DMZ since 2012. Most defectors, around 28,000, have entered South Korea through China, not the DM","A North Korean soldier has walked across one of the world's most heavily militarised borders to defect to the South, officials say.",1407,435,131,6.96 seconds,0.72 MB,0.2680412371134021,0.08421052631578947,0.14432989690721648,0.8520476222038269,easy
"The 24-year-old joined Rangers aged 18 after starting out at Tamworth, and has also had spells at Cowdenbeath and Barnsley.
Hemmings scored 28 goals in 44 games in all competitions for the Scottish Premiership side.
""He is the proven goalscorer that we've talked about and he enjoyed a fantastic season,"" said boss Michael Appleton.
""There were a few clubs looking at him but we have talked to him, told him what we are about down here in Oxford and we are delighted to welcome him to the club.""
Hemmings was on the four-man shortlist for PFA Scotland player of the year last season, along with club-mate Greg Stewart.
At the weekend, Dundee defender Darren O'Dea said the duo would be ""virtually impossible"" to replace in the short term.
Find all the latest football transfers on our dedicated page.","Here's a concise summary of the given text:

Scottish footballer Hamann Hemmings joined Rangers at 18 after leaving Tamworth. He scored 28 goals in 44 games for the Scottish Premiership side. The club is pleased to welcome him to Oxford, where he was on the shortlist for PFA Scotland player of the year last season.",Oxford United have signed Dundee striker Kane Hemmings for an undisclosed fee on a three-year deal.,800,316,99,4.89 seconds,0.64 MB,0.1643835616438356,0.0,0.1095890410958904,0.8453988432884216,easy
